id_pedido;fecha_hora;categoria;producto;cantidad;precio_unitario;monto_total;canal_venta;metodo_pago;calificacion
ORD-1230;24/05/2026 13:08;Especiales;Hamburguesa La Churrita ;3;28.5;85.5;Delivery App;Yape/Plin;5
ORD-1231;8/07/2026 14:39;Pollo;Crispy Chicken Burger;2;22;44;Presencial;Tarjeta de Débito;5
ORD-1232;9/07/2026 20:16;Especiales;Hamburguesa La Churrita ;1;28.5;28.5;Para Llevar;Yape/Plin;5
ORD-1233;25/07/2026 16:00;Especiales;Hamburguesa Extrema ;4;36;144;Delivery App;Efectivo;3
ORD-1234;11/05/2026 18:24;Clásicas;Cheeseburger Doble;1;24;24;Delivery App;Yape/Plin;5
ORD-1235;16/05/2026 13:42;Clásicas;Cheeseburger Doble;2;24;48;Presencial;Yape/Plin;5
ORD-1236;12/07/2026 13:39;Clásicas;Cheeseburger Doble;1;24;24;Presencial;Tarjeta de Débito;3
ORD-1237;28/06/2026 11:41;Clásicas;Cheeseburger Doble;1;24;24;Presencial;Tarjeta de Débito;4
ORD-1238;9/07/2026 13:24;Pollo;Crispy Chicken Burger;2;22;44;Delivery App;Tarjeta de Crédito;5
ORD-1239;19/07/2026 13:38;Clásicas;Hamburguesa Clásica;2;18;36;Presencial;Tarjeta de Débito;4
ORD-1240;3/05/2026 13:34;Pollo;Crispy Chicken Burger;1;22;22;Delivery App;Efectivo;5
ORD-1241;20/05/2026 12:02;Clásicas;Cheeseburger Doble;1;24;24;Delivery App;Yape/Plin;4
ORD-1242;28/06/2026 12:49;Especiales;Hamburguesa La Churrita ;3;28.5;85.5;Presencial;Tarjeta de Crédito;4
ORD-1243;5/06/2026 16:36;Especiales;Hamburguesa La Churrita ;1;31.5;31.5;Delivery App;Tarjeta de Débito;4
ORD-1244;19/05/2026 13:43;Clásicas;Cheeseburger Doble;1;27;27;Presencial;Yape/Plin;5
ORD-1245;29/07/2026 14:43;Especiales;Hamburguesa La Churrita ;3;28.5;85.5;Para Llevar;Tarjeta de Crédito;3
ORD-1246;6/07/2026 17:50;Clásicas;Cheeseburger Doble;3;24;72;Delivery App;Tarjeta de Débito;5
ORD-1247;19/05/2026 18:29;Clásicas;Hamburguesa Clásica;1;18;18;Presencial;Yape/Plin;5
ORD-1248;20/05/2026 11:37;Clásicas;Cheeseburger Doble;2;24;48;Presencial;Tarjeta de Débito;5
ORD-1249;10/07/2026 19:33;Clásicas;Hamburguesa Clásica;2;18;36;Presencial;Tarjeta de Crédito;5
ORD-1250;21/06/2026 18:11;Clásicas;Cheeseburger Doble;3;24;72;Delivery App;Tarjeta de Débito;5
ORD-1251;2/06/2026 12:18;Especiales;Hamburguesa La Churrita ;1;31.5;31.5;Delivery App;Yape/Plin;3
ORD-1252;9/06/2026 20:36;Especiales;Hamburguesa La Churrita ;1;28.5;28.5;Delivery App;Tarjeta de Débito;2
ORD-1253;8/06/2026 20:43;Especiales;Hamburguesa La Churrita ;1;28.5;28.5;Presencial;Tarjeta de Crédito;5
ORD-1254;21/07/2026 12:58;Clásicas;Hamburguesa Clásica;1;18;18;Presencial;Tarjeta de Débito;5
